epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.301,0.018,11.0289,2.5233,0.00314,0.0625,0.03112,0.01867,0.01047,8.77548,1.80891,5.60593e-05,5.60593e-05,5.60593e-05
2,766.326,0.01074,5.87889,1.70774,0.59744,0.12411,0.13995,0.06079,0.01267,5.98453,2.17941,0.000111147,0.000111147,0.000111147
3,1142.31,0.0096,4.49524,1.5476,0.49909,0.35494,0.32863,0.17535,0.01076,4.83999,1.72247,0.000163965,0.000163965,0.000163965
4,1516.69,0.00941,3.5741,1.51307,0.57812,0.40878,0.51192,0.27018,0.01097,4.08588,1.70509,0.000161783,0.000161783,0.000161783
5,1890.58,0.00907,3.01427,1.46353,0.65943,0.6242,0.65855,0.37419,0.00977,3.58561,1.59858,0.000158378,0.000158378,0.000158378
6,2264.08,0.00899,2.65209,1.4585,0.54229,0.68529,0.80253,0.42051,0.01072,3.20765,1.74781,0.000154972,0.000154972,0.000154972
7,2637.06,0.00868,2.30413,1.46003,0.57443,0.76845,0.8045,0.39667,0.01195,2.94326,1.98387,0.000151566,0.000151566,0.000151566
8,3010.72,0.00862,2.04009,1.44868,0.58923,0.85391,0.8786,0.5494,0.00965,2.51312,1.61518,0.000148161,0.000148161,0.000148161
9,3384.68,0.00851,1.86336,1.38712,0.65312,0.86089,0.90428,0.5538,0.00968,2.0923,1.59271,0.000144755,0.000144755,0.000144755
10,3758.78,0.00825,1.64802,1.38161,0.59903,0.87831,0.8969,0.59421,0.00886,2.09373,1.52281,0.00014135,0.00014135,0.00014135
11,4132.66,0.00825,1.52141,1.39753,0.73387,0.82887,0.93121,0.58752,0.00927,1.81285,1.55702,0.000137944,0.000137944,0.000137944
12,4507.74,0.00804,1.4476,1.3686,0.85109,0.81208,0.96391,0.59852,0.01043,1.80143,1.69212,0.000134538,0.000134538,0.000134538
13,4882.62,0.00825,1.38132,1.40455,0.75055,0.88394,0.9587,0.59938,0.00983,1.58891,1.58158,0.000131133,0.000131133,0.000131133
14,5258.05,0.00795,1.28023,1.34812,0.64859,0.94025,0.9587,0.63715,0.00874,1.6334,1.45395,0.000127727,0.000127727,0.000127727
15,5633.1,0.0079,1.19956,1.33828,0.82458,0.90625,0.96391,0.67448,0.00844,1.3666,1.43529,0.000124322,0.000124322,0.000124322
16,6008.66,0.00801,1.191,1.31615,0.7963,0.96336,0.96391,0.71847,0.00744,1.2436,1.35319,0.000120916,0.000120916,0.000120916
17,6384.17,0.00757,1.08108,1.33101,0.78927,0.90625,0.96391,0.68202,0.00799,1.31531,1.39331,0.00011751,0.00011751,0.00011751
18,6760.31,0.00769,1.07169,1.31249,0.84914,0.90199,0.96391,0.6747,0.00831,1.3243,1.42296,0.000114105,0.000114105,0.000114105
19,7136.43,0.00778,1.01839,1.31577,0.90442,0.93715,0.96391,0.67803,0.0088,1.218,1.48755,0.000110699,0.000110699,0.000110699
20,7512.19,0.00744,0.96276,1.27255,0.85124,0.94617,0.96391,0.68794,0.00835,1.2248,1.41978,0.000107294,0.000107294,0.000107294
21,7887.96,0.00732,0.97453,1.27759,0.89501,0.92641,0.96391,0.65838,0.00878,1.09252,1.48086,0.000103888,0.000103888,0.000103888
22,8263.73,0.00721,0.93702,1.24858,0.87097,0.95522,0.96391,0.62461,0.00971,1.09718,1.64368,0.000100482,0.000100482,0.000100482
23,8639.87,0.00738,0.92583,1.27817,0.8124,0.89044,0.96391,0.67003,0.00835,1.1661,1.43072,9.70768e-05,9.70768e-05,9.70768e-05
24,9015.87,0.00759,0.91802,1.28421,0.82433,0.96875,0.96391,0.7144,0.00755,1.08123,1.33351,9.36712e-05,9.36712e-05,9.36712e-05
25,9391.69,0.00722,0.85166,1.24325,0.81795,0.9636,0.96391,0.67141,0.0083,1.10668,1.39681,9.02656e-05,9.02656e-05,9.02656e-05
26,9767.61,0.00704,0.83622,1.21829,0.88337,0.92961,0.96391,0.68568,0.00811,1.05285,1.38885,8.686e-05,8.686e-05,8.686e-05
27,10144.1,0.00721,0.83423,1.24606,0.8243,0.96875,0.96391,0.70902,0.00748,1.00044,1.32647,8.34544e-05,8.34544e-05,8.34544e-05
28,10520.4,0.00702,0.80726,1.20448,0.89029,0.93453,0.96391,0.68392,0.00839,1.02811,1.42832,8.00488e-05,8.00488e-05,8.00488e-05
29,10897.4,0.00698,0.79447,1.24991,0.89231,0.94774,0.96391,0.67026,0.00849,1.06279,1.4308,7.66432e-05,7.66432e-05,7.66432e-05
30,11274.1,0.00681,0.76867,1.20593,0.86687,0.96875,0.96391,0.68554,0.00794,0.95762,1.37597,7.32376e-05,7.32376e-05,7.32376e-05
31,11651,0.00664,0.71462,1.19756,0.89596,0.92742,0.96391,0.67951,0.00841,0.97131,1.43374,6.9832e-05,6.9832e-05,6.9832e-05
32,12027.9,0.00671,0.72129,1.22084,0.89533,0.96064,0.96391,0.71079,0.00755,0.93248,1.32137,6.64264e-05,6.64264e-05,6.64264e-05
33,12405,0.00671,0.71638,1.20478,0.8908,0.96143,0.96391,0.69162,0.00812,1.00078,1.35832,6.30208e-05,6.30208e-05,6.30208e-05
34,12783.4,0.00671,0.75709,1.19601,0.89531,0.95748,0.96391,0.72807,0.00737,0.94642,1.28829,5.96152e-05,5.96152e-05,5.96152e-05
35,13161,0.0066,0.70537,1.18607,0.92018,0.96346,0.96391,0.71642,0.00756,0.90942,1.32948,5.62096e-05,5.62096e-05,5.62096e-05
36,13539.1,0.00658,0.71501,1.20531,0.90815,0.96384,0.96391,0.70931,0.00751,0.886,1.34186,5.2804e-05,5.2804e-05,5.2804e-05
37,13917.2,0.00634,0.65973,1.16876,0.92127,0.96699,0.96391,0.70385,0.00766,0.90759,1.34897,4.93984e-05,4.93984e-05,4.93984e-05
38,14294.8,0.00642,0.66353,1.17758,0.89324,0.96875,0.96391,0.70877,0.00751,0.92943,1.34057,4.59928e-05,4.59928e-05,4.59928e-05
39,14672.6,0.00639,0.65523,1.17183,0.85546,0.96875,0.96391,0.71522,0.00752,0.93075,1.32659,4.25872e-05,4.25872e-05,4.25872e-05
40,15050,0.0063,0.63663,1.14241,0.89909,0.96875,0.96391,0.70224,0.0077,0.92014,1.33982,3.91816e-05,3.91816e-05,3.91816e-05
41,15426,0.0058,0.50345,1.19739,0.90486,0.96875,0.96391,0.70387,0.00766,0.88931,1.3516,3.5776e-05,3.5776e-05,3.5776e-05
42,15802.2,0.00565,0.48502,1.20475,0.91848,0.96867,0.96391,0.7272,0.00739,0.85146,1.30956,3.23704e-05,3.23704e-05,3.23704e-05
43,16178.6,0.00552,0.47066,1.17737,0.90094,0.96875,0.96391,0.71174,0.00756,0.87454,1.33995,2.89648e-05,2.89648e-05,2.89648e-05
44,16554.3,0.00543,0.46079,1.1725,0.89359,0.96875,0.96391,0.70239,0.00803,0.87326,1.39592,2.55592e-05,2.55592e-05,2.55592e-05
45,16930.3,0.00539,0.46069,1.17761,0.89517,0.96875,0.96391,0.71523,0.00775,0.83097,1.36165,2.21536e-05,2.21536e-05,2.21536e-05
46,17306.4,0.00538,0.45637,1.18482,0.87178,0.96875,0.96391,0.70951,0.00797,0.83875,1.36852,1.8748e-05,1.8748e-05,1.8748e-05
47,17682.3,0.00528,0.45066,1.1481,0.90756,0.96875,0.96391,0.70774,0.00788,0.84784,1.36231,1.53424e-05,1.53424e-05,1.53424e-05
48,18058.8,0.00523,0.44156,1.14565,0.92929,0.96875,0.96391,0.70345,0.00777,0.83192,1.36072,1.19368e-05,1.19368e-05,1.19368e-05
49,18434.8,0.00527,0.44231,1.14256,0.92292,0.96875,0.96391,0.69785,0.00791,0.84257,1.3781,8.5312e-06,8.5312e-06,8.5312e-06
50,18811.6,0.00511,0.44197,1.14339,0.92232,0.96875,0.96391,0.70743,0.0078,0.82645,1.3674,5.1256e-06,5.1256e-06,5.1256e-06
