epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9214,0.00826,8.40015,1.31508,0.78358,0.14286,0.15053,0.12189,0.00448,7.4542,0.98465,8.95e-06,8.95e-06,8.95e-06
2,93.2131,0.0069,6.4164,1.23257,0.83872,0.14286,0.21321,0.16262,0.00455,6.98609,0.97195,1.93001e-05,1.93001e-05,1.93001e-05
3,139.29,0.00634,5.40538,1.19137,0.35907,0.42857,0.21829,0.17737,0.00451,7.52468,0.97755,2.9225e-05,2.9225e-05,2.9225e-05
4,186.168,0.00585,4.80499,1.15633,0.08671,0.66667,0.27227,0.22975,0.0046,7.47732,0.98568,3.87245e-05,3.87245e-05,3.87245e-05
5,232.868,0.00554,4.40441,1.092,0.16175,1,0.44698,0.3901,0.00428,7.37456,0.94187,4.77987e-05,4.77987e-05,4.77987e-05
6,278.734,0.00534,3.89341,1.06068,0.29514,0.85714,0.5356,0.47475,0.00448,6.46809,0.96693,5.64476e-05,5.64476e-05,5.64476e-05
7,323.522,0.00559,3.39993,1.08019,0.63928,0.48397,0.66345,0.59915,0.00418,5.26556,0.94489,6.46713e-05,6.46713e-05,6.46713e-05
8,367.836,0.00539,3.11733,1.04493,0.59295,0.52381,0.63818,0.57882,0.00385,4.45284,0.92205,7.24696e-05,7.24696e-05,7.24696e-05
9,412.304,0.00482,2.93322,0.99603,0.37443,0.75473,0.5508,0.51131,0.00355,3.76016,0.90379,7.98426e-05,7.98426e-05,7.98426e-05
10,457.039,0.00506,2.99877,1.01304,0.32209,0.88294,0.77517,0.71187,0.00367,3.68507,0.9082,8.67903e-05,8.67903e-05,8.67903e-05
11,501.536,0.00513,2.769,1.06657,0.43985,0.91703,0.62069,0.55444,0.00389,3.57731,0.90876,9.33127e-05,9.33127e-05,9.33127e-05
12,546.07,0.00492,2.46301,1.03746,0.31874,0.85714,0.75087,0.66695,0.00427,3.11033,0.93036,9.94098e-05,9.94098e-05,9.94098e-05
13,590.68,0.00521,2.42977,1.05358,0.5241,1,0.92393,0.80608,0.00469,2.49361,0.96621,0.000105082,0.000105082,0.000105082
14,635.298,0.00563,2.39494,1.0582,0.75069,0.85714,0.995,0.89119,0.00459,2.03901,0.95941,0.000110328,0.000110328,0.000110328
15,679.575,0.00459,2.04886,1.01029,0.58955,1,0.995,0.90089,0.00432,2.00014,0.94488,0.000115149,0.000115149,0.000115149
16,724.13,0.00497,1.85923,1.02308,0.64967,1,0.92393,0.84841,0.00376,1.88588,0.9144,0.000119545,0.000119545,0.000119545
17,768.196,0.00482,1.86525,1.02055,0.73608,1,0.92393,0.8413,0.00365,1.76308,0.90278,0.000122293,0.000122293,0.000122293
18,813.809,0.00492,1.85868,1.00736,0.78248,1,0.995,0.90527,0.00367,1.57262,0.90597,0.000118749,0.000118749,0.000118749
19,859.523,0.00471,1.6955,1.0182,0.8506,1,0.995,0.92316,0.00375,1.42833,0.91072,0.000115204,0.000115204,0.000115204
20,905.599,0.00477,1.63965,1.03527,0.75409,1,0.995,0.91467,0.00399,1.35698,0.92972,0.00011166,0.00011166,0.00011166
21,952.305,0.00487,1.54128,1.02416,0.73072,1,0.995,0.91468,0.00411,1.35417,0.94314,0.000108116,0.000108116,0.000108116
22,997.572,0.00474,1.49525,1.01084,0.85598,1,0.995,0.90858,0.00425,1.2943,0.96359,0.000104572,0.000104572,0.000104572
23,1042.11,0.00504,1.46398,1.01348,0.91849,1,0.995,0.90856,0.0043,1.25269,0.96936,0.000101028,0.000101028,0.000101028
24,1087.74,0.00479,1.3518,0.97914,0.79785,1,0.995,0.91473,0.00412,1.22554,0.95291,9.74834e-05,9.74834e-05,9.74834e-05
25,1132.47,0.00492,1.44409,0.99984,0.81835,1,0.995,0.91484,0.00385,1.22179,0.93919,9.39392e-05,9.39392e-05,9.39392e-05
26,1177.75,0.00462,1.23105,0.94927,0.86421,1,0.995,0.92219,0.00334,1.12825,0.90875,9.0395e-05,9.0395e-05,9.0395e-05
27,1222.89,0.00454,1.24994,0.99158,0.80019,1,0.995,0.92217,0.00335,1.07589,0.90746,8.68508e-05,8.68508e-05,8.68508e-05
28,1268.05,0.00455,1.18111,0.97291,0.88785,1,0.995,0.92528,0.00338,0.97332,0.90386,8.33066e-05,8.33066e-05,8.33066e-05
