epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3304,0.01551,5.44399,2.2262,0.00129,0.28571,0.02067,0.01248,0.01262,5.90509,1.7814,8.95e-06,8.95e-06,8.95e-06
2,93.3995,0.01348,5.26114,2.08045,0.00289,0.28571,0.04799,0.03833,0.01198,5.70033,1.77232,1.93001e-05,1.93001e-05,1.93001e-05
3,138.982,0.01267,5.21771,1.89599,0.02098,0.28571,0.05584,0.03858,0.00918,5.21608,1.56997,2.9225e-05,2.9225e-05,2.9225e-05
4,184.431,0.01153,5.18529,1.76873,0.15972,0.33333,0.27291,0.18038,0.00761,5.01285,1.47737,3.87245e-05,3.87245e-05,3.87245e-05
5,230.448,0.01057,5.05872,1.65857,0.16259,0.33333,0.30845,0.22786,0.00677,4.9644,1.37139,4.77987e-05,4.77987e-05,4.77987e-05
6,276.596,0.00896,4.83604,1.49906,0.16497,0.33333,0.28476,0.22786,0.00578,4.84455,1.2382,5.64476e-05,5.64476e-05,5.64476e-05
7,321.853,0.00935,4.74662,1.4346,0.02321,0.28571,0.18952,0.15636,0.00504,4.76462,1.12915,6.46713e-05,6.46713e-05,6.46713e-05
8,367.428,0.00854,4.64262,1.34641,0.02078,0.28571,0.18952,0.17057,0.00449,4.61951,1.02554,7.24696e-05,7.24696e-05,7.24696e-05
9,412.912,0.00767,4.54152,1.24964,0.03408,0.42857,0.20374,0.17863,0.00428,4.48181,0.97805,7.98426e-05,7.98426e-05,7.98426e-05
10,458.874,0.00764,4.50483,1.23041,0.10491,0.57143,0.31378,0.28212,0.00425,4.36349,0.96453,8.67903e-05,8.67903e-05,8.67903e-05
11,504.832,0.00761,4.30748,1.25386,0.09947,0.71429,0.34813,0.30989,0.00434,4.2129,0.96888,9.33127e-05,9.33127e-05,9.33127e-05
12,550.808,0.00734,4.25726,1.21313,0.16052,0.7619,0.48589,0.42831,0.00463,4.10763,0.99064,9.94098e-05,9.94098e-05,9.94098e-05
13,596.361,0.00756,4.16615,1.19997,0.17396,0.80952,0.6402,0.55164,0.0049,4.02038,1.0089,0.000105082,0.000105082,0.000105082
14,642.303,0.00782,4.16692,1.22501,0.19091,1,0.76767,0.65853,0.00506,3.9003,1.02014,0.000110328,0.000110328,0.000110328
15,687.833,0.00643,3.86522,1.14158,0.19419,1,0.76767,0.66092,0.00505,3.83156,1.02101,0.000115149,0.000115149,0.000115149
16,732.255,0.00722,3.9072,1.20302,0.17256,1,0.86954,0.76631,0.00499,3.67305,1.02561,0.000119545,0.000119545,0.000119545
17,776.481,0.00674,3.69375,1.16249,0.15967,1,0.84573,0.7446,0.00492,3.57936,1.02167,0.000122293,0.000122293,0.000122293
18,820.901,0.00676,3.72461,1.14475,0.15692,1,0.85757,0.74094,0.00479,3.39626,1.01623,0.000118749,0.000118749,0.000118749
19,865.435,0.00654,3.46487,1.14504,0.15437,1,0.834,0.7288,0.00467,3.29666,1.00963,0.000115204,0.000115204,0.000115204
